Algorithm.Type,String.Length,Duration,Fractional.Period,Run
naive,1000,7612700,1000,1
smart,1000,71300,1000,1
naive,1064,670800,1063,1
smart,1064,65950,1063,1
naive,1133,975500,1131,1
smart,1133,67933,1131,1
naive,1207,771600,1207,1
smart,1207,73000,1207,1
naive,1285,792800,1284,1
smart,1285,80133,1284,1
naive,1368,826500,1364,1
smart,1368,121500,1364,1
naive,1457,928600,1457,1
smart,1457,91333,1457,1
naive,1551,3070800,1550,1
smart,1551,98366,1550,1
naive,1652,705900,1652,1
smart,1652,101400,1652,1
naive,1759,457800,1758,1
smart,1759,108200,1758,1
naive,1873,518200,1871,1
smart,1873,112900,1871,1
naive,1994,1058900,1993,1
smart,1994,128450,1993,1
naive,2123,1892900,2123,1
smart,2123,145550,2123,1
naive,2261,2689800,2261,1
smart,2261,727800,2261,1
naive,2408,1654200,2408,1
smart,2408,352000,2408,1
naive,2564,1973200,2561,1
smart,2564,273800,2561,1
naive,2730,3328600,2730,1
smart,2730,204700,2730,1
naive,2907,5507300,2904,1
smart,2907,136100,2904,1
naive,3095,4682100,3095,1
smart,3095,119700,3095,1
naive,3295,6723400,3295,1
smart,3295,107000,3295,1
naive,3509,1931900,3508,1
smart,3509,120650,3508,1
naive,3736,2179900,3734,1
smart,3736,112050,3734,1
naive,3978,3803200,3976,1
smart,3978,172500,3976,1
naive,4236,8385500,4235,1
smart,4236,24100,4235,1
naive,4511,3845200,4510,1
smart,4511,26987,4510,1
naive,4803,9499700,4802,1
smart,4803,31000,4802,1
naive,5114,9717700,5114,1
smart,5114,25162,5114,1
naive,5446,6208100,5443,1
smart,5446,34283,5443,1
naive,5798,5299900,5798,1
smart,5798,215300,5798,1
naive,6174,6025700,6172,1
smart,6174,39366,6172,1
naive,6574,7937000,6573,1
smart,6574,41800,6573,1
naive,7000,9820800,6999,1
smart,7000,34633,6999,1
naive,7454,16379300,7453,1
smart,7454,57825,7453,1
naive,7937,18067000,7937,1
smart,7937,58450,7937,1
naive,8451,13156500,8448,1
smart,8451,77366,8448,1
naive,8998,14679500,8998,1
smart,8998,58925,8998,1
naive,9581,17027600,9580,1
smart,9581,57225,9580,1
naive,10202,35276600,10202,1
smart,10202,71166,10202,1
naive,10863,22238100,10863,1
smart,10863,71900,10863,1
naive,11567,24407000,11567,1
smart,11567,73766,11567,1
naive,12316,28291900,12316,1
smart,12316,78500,12316,1
naive,13114,42099400,13114,1
smart,13114,88533,13114,1
naive,13964,33375600,13964,1
smart,13964,80800,13964,1
naive,14868,37434800,14867,1
smart,14868,96300,14867,1
naive,15832,42145700,15831,1
smart,15832,106000,15831,1
naive,16857,46562800,16857,1
smart,16857,90966,16857,1
naive,17950,63685500,17950,1
smart,17950,92433,17950,1
naive,19113,66591300,19113,1
smart,19113,128350,19113,1
naive,20351,76458200,20347,1
smart,20351,133050,20347,1
naive,21669,74141800,21667,1
smart,21669,147100,21667,1
naive,23073,87103300,23072,1
smart,23073,163300,23072,1
naive,24568,94164700,24567,1
smart,24568,150700,24567,1
naive,26160,106675700,26159,1
smart,26160,175050,26159,1
naive,27854,116850500,27853,1
smart,27854,187300,27853,1
naive,29659,131648700,29659,1
smart,29659,206000,29659,1
naive,31581,150198900,31580,1
smart,31581,206700,31580,1
naive,33627,169794300,33627,1
smart,33627,182000,33627,1
naive,35805,209338300,35803,1
smart,35805,267000,35803,1
naive,38125,217036900,38125,1
smart,38125,227700,38125,1
naive,40595,250075400,40595,1
smart,40595,243600,40595,1
naive,43225,275176800,43223,1
smart,43225,307900,43223,1
naive,46025,313022000,46025,1
smart,46025,447200,46025,1
naive,49007,353728700,49007,1
smart,49007,260100,49007,1
naive,52182,403116100,52182,1
smart,52182,375400,52182,1
naive,55563,466631900,55563,1
smart,55563,498800,55563,1
naive,59163,519857600,59163,1
smart,59163,350700,59163,1
naive,62996,580526700,62991,1
smart,62996,443000,62991,1
naive,67077,659030700,67077,1
smart,67077,527200,67077,1
naive,71422,752771300,71421,1
smart,71422,515800,71421,1
naive,76050,866243400,76050,1
smart,76050,455600,76050,1
naive,80977,992088300,80977,1
smart,80977,556200,80977,1
naive,86223,1083877200,86223,1
smart,86223,657300,86223,1
naive,91809,1233736800,91809,1
smart,91809,611800,91809,1
naive,97757,1473508400,97756,1
smart,97757,657400,97756,1
naive,104090,1585078400,104089,1
smart,104090,695000,104089,1
naive,110834,1875922400,110834,1
smart,110834,763900,110834,1
naive,118014,2035766400,118013,1
smart,118014,796100,118013,1
naive,125660,2388247700,125660,1
smart,125660,886200,125660,1
naive,133801,2707444700,133801,1
smart,133801,1006200,133801,1
