Algorithm.Type,String.Length,Duration,Fractional.Period,Run
smart,365307,2599500,365305,1
naive,388974,22434489900,388974,1
smart,388974,2323400,388974,1
naive,414174,25143939600,414173,1
smart,414174,2768900,414173,1
naive,441006,28699910500,441003,1
smart,441006,2581100,441003,1
naive,469577,32362056500,469575,1
smart,469577,3106500,469575,1
naive,500000,36716793700,500000,1
smart,500000,3428600,500000,1
naive,1000,257300,1000,2
smart,1000,2961,1000,2
naive,1064,160350,1063,2
smart,1064,3300,1063,2
naive,1133,186300,1130,2
smart,1133,2819,1130,2
naive,1207,271700,1206,2
smart,1207,4123,1206,2
naive,1285,341900,1285,2
smart,1285,3531,1285,2
naive,1368,527100,1368,2
smart,1368,5929,1368,2
naive,1457,302800,1454,2
smart,1457,5644,1454,2
naive,1551,412700,1550,2
smart,1551,4331,1550,2
naive,1652,799000,1650,2
smart,1652,5586,1650,2
naive,1759,728200,1759,2
smart,1759,7396,1759,2
naive,1873,590600,1873,2
smart,1873,7278,1873,2
naive,1994,627000,1993,2
smart,1994,8080,1993,2
naive,2123,697400,2122,2
smart,2123,8554,2122,2
naive,2261,737100,2257,2
smart,2261,10080,2257,2
naive,2408,835300,2407,2
smart,2408,11388,2407,2
naive,2564,973400,2563,2
smart,2564,10325,2563,2
naive,2730,1607400,2730,2
smart,2730,12562,2730,2
naive,2907,1259700,2907,2
smart,2907,13760,2907,2
naive,3095,1367800,3094,2
smart,3095,19290,3094,2
naive,3295,1585000,3295,2
smart,3295,14535,3295,2
naive,3509,2956900,3508,2
smart,3509,21910,3508,2
naive,3736,2060200,3735,2
smart,3736,17392,3735,2
naive,3978,2303900,3977,2
smart,3978,24433,3977,2
naive,4236,2794000,4235,2
smart,4236,25050,4235,2
naive,4511,3986200,4511,2
smart,4511,21690,4511,2
naive,4803,3377400,4803,2
smart,4803,27887,4803,2
naive,5114,5120500,5114,2
smart,5114,35483,5114,2
naive,5446,4980900,5445,2
smart,5446,30471,5445,2
naive,5798,6573100,5798,2
smart,5798,29828,5798,2
naive,6174,6362400,6173,2
smart,6174,145500,6173,2
naive,6574,6258500,6573,2
smart,6574,40360,6573,2
naive,7000,7418500,7000,2
smart,7000,44600,7000,2
naive,7454,9742400,7454,2
smart,7454,40780,7454,2
naive,7937,11284900,7936,2
smart,7937,41800,7936,2
naive,8451,11697700,8451,2
smart,8451,45100,8451,2
naive,8998,12299900,8997,2
smart,8998,85400,8997,2
naive,9581,14949100,9580,2
smart,9581,67100,9580,2
naive,10202,19039200,10201,2
smart,10202,56050,10201,2
naive,10863,18629100,10863,2
smart,10863,75800,10863,2
naive,11567,21620900,11566,2
smart,11567,88066,11566,2
naive,12316,26089700,12316,2
smart,12316,82400,12316,2
naive,13114,27777500,13114,2
smart,13114,75066,13114,2
naive,13964,30748500,13963,2
smart,13964,95533,13963,2
naive,14868,35424900,14868,2
smart,14868,101950,14868,2
naive,15832,38677700,15832,2
smart,15832,105300,15832,2
naive,16857,48718600,16857,2
smart,16857,110850,16857,2
naive,17950,51857900,17950,2
smart,17950,124450,17950,2
naive,19113,56982900,19113,2
smart,19113,104750,19113,2
naive,20351,63324800,20351,2
smart,20351,118900,20351,2
naive,21669,74198600,21669,2
smart,21669,151850,21669,2
naive,23073,81626600,23073,2
smart,23073,155100,23073,2
naive,24568,89813600,24568,2
smart,24568,168450,24568,2
naive,26160,101925500,26159,2
smart,26160,179300,26159,2
naive,27854,119724200,27853,2
smart,27854,202400,27853,2
naive,29659,131849100,29659,2
smart,29659,241800,29659,2
naive,31581,151572500,31580,2
smart,31581,165400,31580,2
naive,33627,169692600,33626,2
smart,33627,222250,33626,2
naive,35805,190567700,35803,2
smart,35805,265000,35803,2
naive,38125,213848500,38125,2
smart,38125,301100,38125,2
naive,40595,245546000,40594,2
smart,40595,330400,40594,2
naive,43225,278285300,43223,2
smart,43225,272900,43223,2
naive,46025,310167800,46025,2
smart,46025,363500,46025,2
naive,49007,379273200,49006,2
smart,49007,319500,49006,2
naive,52182,396211300,52181,2
smart,52182,385300,52181,2
naive,55563,455395700,55563,2
smart,55563,370900,55563,2
naive,59163,512753100,59162,2
smart,59163,365000,59162,2
naive,62996,580071600,62996,2
smart,62996,387500,62996,2
naive,67077,659538200,67076,2
smart,67077,518000,67076,2
naive,71422,746091500,71421,2
smart,71422,488700,71421,2
naive,76050,871465900,76049,2
smart,76050,544900,76049,2
naive,80977,958093600,80977,2
smart,80977,608600,80977,2
naive,86223,1086906700,86221,2
smart,86223,606400,86221,2
naive,91809,1313321400,91809,2
smart,91809,622000,91809,2
naive,97757,1394381900,97757,2
smart,97757,699100,97757,2
naive,104090,1582903300,104090,2
smart,104090,589800,104090,2
naive,110834,1823412700,110834,2
smart,110834,747800,110834,2
naive,118014,2027258800,118013,2
smart,118014,844800,118013,2
naive,125660,2303096400,125658,2
smart,125660,881900,125658,2
naive,133801,2687023000,133799,2
smart,133801,1028100,133799,2
naive,142470,2996030600,142470,2
smart,142470,898600,142470,2
naive,151700,3379919600,151700,2
smart,151700,990100,151700,2
naive,161528,3835906200,161528,2
smart,161528,1274400,161528,2
naive,171992,4344739400,171992,2
smart,171992,1215400,171992,2
naive,183135,4933330100,183134,2
smart,183135,1253500,183134,2
naive,195000,5587650000,195000,2
smart,195000,1321300,195000,2
naive,207633,6311752000,207633,2
smart,207633,1224600,207633,2
naive,221085,7228634700,221085,2
smart,221085,2038300,221085,2
naive,235408,8148855600,235408,2
smart,235408,1644200,235408,2
naive,250659,9213469700,250659,2
smart,250659,1694500,250659,2
naive,266898,10430210500,266898,2
smart,266898,1829500,266898,2
naive,284190,11802230800,284189,2
smart,284190,2071400,284189,2
naive,302601,13806168800,302601,2
smart,302601,2215100,302601,2
naive,322206,15187951000,322201,2
smart,322206,2063700,322201,2
naive,343080,17245373400,343078,2
smart,343080,2232100,343078,2
naive,365307,19528505400,365304,2
smart,365307,2433400,365304,2
naive,388974,22133535400,388974,2
smart,388974,2721800,388974,2
naive,414174,25164412900,414174,2
smart,414174,2687100,414174,2
naive,441006,28483560700,441005,2
smart,441006,3082100,441005,2
naive,469577,32335724600,469576,2
smart,469577,2600500,469576,2
naive,500000,36560881500,500000,2
smart,500000,3383400,500000,2
naive,1000,165550,1000,3
smart,1000,3356,1000,3
naive,1064,164550,1064,3
smart,1064,3738,1064,3
naive,1133,190100,1132,3
smart,1133,4177,1132,3
naive,1207,211500,1207,3
smart,1207,3538,1207,3
naive,1285,666100,1285,3
smart,1285,3807,1285,3
naive,1368,442600,1367,3
smart,1368,5416,1367,3
naive,1457,385300,1457,3
smart,1457,6609,1457,3
naive,1551,569900,1549,3
smart,1551,6312,1549,3
naive,1652,378100,1652,3
smart,1652,6538,1652,3
naive,1759,442600,1759,3
smart,1759,6937,1759,3
naive,1873,509800,1873,3
smart,1873,7440,1873,3
naive,1994,575800,1994,3
smart,1994,8084,1994,3
naive,2123,654800,2122,3
smart,2123,10573,2122,3
naive,2261,847400,2261,3
smart,2261,10205,2261,3
naive,2408,1461400,2406,3
smart,2408,11183,2406,3
naive,2564,936500,2564,3
smart,2564,16800,2564,3
naive,2730,1059900,2730,3
smart,2730,11477,2730,3
naive,2907,1225000,2907,3
smart,2907,16161,2907,3
naive,3095,1384900,3094,3
smart,3095,23233,3094,3
naive,3295,2561700,3293,3
smart,3295,26077,3293,3
naive,3509,1805300,3509,3
smart,3509,25233,3509,3
naive,3736,2020700,3736,3
smart,3736,25500,3736,3
naive,3978,2478500,3978,3
smart,3978,26825,3978,3
naive,4236,3757600,4235,3
smart,4236,29571,4235,3
naive,4511,2945600,4511,3
smart,4511,30985,4511,3
naive,4803,4485900,4803,3
smart,4803,40960,4803,3
naive,5114,3950000,5114,3
smart,5114,31100,5114,3
naive,5446,6322100,5446,3
smart,5446,34650,5446,3
naive,5798,6366600,5798,3
smart,5798,27912,5798,3
naive,6174,5798400,6172,3
smart,6174,38350,6172,3
naive,6574,7805400,6574,3
smart,6574,31214,6574,3
naive,7000,7178600,6998,3
smart,7000,72866,6998,3
naive,7454,8438400,7454,3
smart,7454,51550,7454,3
naive,7937,9540400,7936,3
smart,7937,45220,7936,3
naive,8451,11279200,8451,3
smart,8451,59425,8451,3
naive,8998,14301800,8998,3
smart,8998,45960,8998,3
naive,9581,15018200,9581,3
smart,9581,56475,9581,3
naive,10202,17732400,10202,3
smart,10202,63650,10202,3
naive,10863,20013700,10863,3
smart,10863,60650,10863,3
naive,11567,23355000,11566,3
smart,11567,78966,11566,3
naive,12316,25023600,12314,3
smart,12316,85333,12314,3
naive,13114,26685500,13112,3
smart,13114,84266,13112,3
naive,13964,30962200,13963,3
smart,13964,96366,13963,3
naive,14868,36013200,14865,3
smart,14868,154200,14865,3
naive,15832,38464600,15829,3
smart,15832,107150,15829,3
naive,16857,46683000,16856,3
smart,16857,93633,16856,3
naive,17950,50253800,17950,3
smart,17950,139700,17950,3
naive,19113,55981100,19113,3
smart,19113,129300,19113,3
naive,20351,97970100,20350,3
smart,20351,131100,20350,3
naive,21669,74047100,21669,3
smart,21669,148300,21669,3
naive,23073,82522900,23073,3
smart,23073,144350,23073,3
naive,24568,89134800,24568,3
smart,24568,160900,24568,3
naive,26160,105151900,26160,3
smart,26160,173700,26160,3
naive,27854,116658900,27853,3
smart,27854,219500,27853,3
naive,29659,131919700,29658,3
smart,29659,186750,29658,3
naive,31581,151136000,31581,3
smart,31581,207800,31581,3
naive,33627,168812800,33627,3
smart,33627,242900,33627,3
naive,35805,191677900,35805,3
smart,35805,295500,35805,3
naive,38125,215501500,38123,3
smart,38125,320600,38123,3
naive,40595,255450400,40595,3
smart,40595,240000,40595,3
naive,43225,290157300,43224,3
smart,43225,329500,43224,3
naive,46025,313619000,46023,3
smart,46025,336100,46023,3
naive,49007,360817400,49004,3
smart,49007,359000,49004,3
naive,52182,399706000,52181,3
smart,52182,442900,52181,3
naive,55563,451666700,55562,3
smart,55563,497400,55562,3
naive,59163,514115300,59162,3
smart,59163,515200,59162,3
naive,62996,581818900,62995,3
smart,62996,487800,62995,3
naive,67077,657567500,67077,3
smart,67077,502500,67077,3
naive,71422,746852100,71422,3
smart,71422,530600,71422,3
naive,76050,846036000,76049,3
smart,76050,587800,76049,3
naive,80977,956328500,80976,3
smart,80977,599300,80976,3
naive,86223,1085134600,86223,3
smart,86223,554500,86223,3
naive,91809,1277647800,91809,3
smart,91809,655600,91809,3
naive,97757,1395806600,97757,3
smart,97757,584800,97757,3
naive,104090,1708300500,104090,3
smart,104090,583200,104090,3
naive,110834,1805999400,110832,3
smart,110834,778800,110832,3
naive,118014,2077258200,118013,3
smart,118014,782700,118013,3
naive,125660,2305391400,125658,3
smart,125660,756300,125658,3
naive,133801,2657973100,133801,3
smart,133801,760200,133801,3
naive,142470,3025696500,142470,3
smart,142470,904100,142470,3
naive,151700,3370785400,151700,3
smart,151700,872700,151700,3
naive,161528,3825577400,161524,3
smart,161528,1287900,161524,3
naive,171992,4374109400,171990,3
smart,171992,920500,171990,3
naive,183135,4958088500,183135,3
smart,183135,1233800,183135,3
naive,195000,5603671200,194999,3
smart,195000,1300500,194999,3
naive,207633,6338854100,207633,3
smart,207633,1432000,207633,3
naive,221085,7176272500,221085,3
smart,221085,1726500,221085,3
naive,235408,8141195300,235408,3
smart,235408,1364800,235408,3
naive,250659,9194920200,250659,3
smart,250659,1416800,250659,3
naive,266898,10416808200,266898,3
smart,266898,1557000,266898,3
naive,284190,11799104200,284190,3
smart,284190,2162300,284190,3
naive,302601,13469181300,302601,3
smart,302601,1928800,302601,3
naive,322206,15261101600,322206,3
smart,322206,2187900,322206,3
naive,343080,17338635400,343078,3
smart,343080,2435100,343078,3
naive,365307,19540440800,365306,3
smart,365307,2411900,365306,3
naive,388974,22134187100,388974,3
smart,388974,2758300,388974,3
naive,414174,25121577300,414173,3
smart,414174,2754100,414173,3
naive,441006,28446156600,441005,3
smart,441006,3203600,441005,3
naive,469577,32347346000,469577,3
smart,469577,2966800,469577,3
naive,500000,36584323800,500000,3
smart,500000,3313900,500000,3
naive,1000,158100,999,4
smart,1000,3084,999,4
naive,1064,159600,1064,4
smart,1064,3746,1064,4
naive,1133,184850,1130,4
smart,1133,4354,1130,4
naive,1207,206700,1207,4
smart,1207,3784,1207,4
naive,1285,235700,1283,4
smart,1285,11400,1283,4
naive,1368,397300,1366,4
smart,1368,4170,1366,4
naive,1457,443400,1455,4
smart,1457,4197,1455,4
naive,1551,321200,1550,4
smart,1551,4048,1550,4
naive,1652,378500,1652,4
smart,1652,5012,1652,4
naive,1759,499000,1757,4
smart,1759,8180,1757,4
naive,1873,501400,1873,4
smart,1873,6548,1873,4
naive,1994,1067000,1993,4
smart,1994,12458,1993,4
naive,2123,1045400,2121,4
smart,2123,10710,2121,4
naive,2261,788200,2261,4
smart,2261,9327,2261,4
naive,2408,831200,2407,4
smart,2408,10584,2407,4
naive,2564,968400,2564,4
smart,2564,12806,2564,4
naive,2730,1080500,2730,4
smart,2730,16866,2730,4
naive,2907,2453800,2907,4
smart,2907,18283,2907,4
naive,3095,1799700,3092,4
smart,3095,23400,3092,4
naive,3295,1562800,3295,4
smart,3295,20390,3295,4
naive,3509,1780100,3509,4
smart,3509,22355,3509,4
naive,3736,2034100,3736,4
smart,3736,25525,3736,4
naive,3978,3442400,3977,4
smart,3978,31371,3977,4
naive,4236,2614900,4236,4
smart,4236,28957,4236,4
naive,4511,3583100,4509,4
smart,4511,35171,4509,4
naive,4803,3367400,4802,4
smart,4803,27825,4802,4
naive,5114,3824800,5111,4
smart,5114,31185,5111,4
naive,5446,6151100,5445,4
smart,5446,34800,5445,4
naive,5798,6702800,5796,4
smart,5798,102700,5796,4
naive,6174,5675300,6174,4
smart,6174,30814,6174,4
naive,6574,6614200,6571,4
smart,6574,43900,6571,4
naive,7000,8739200,7000,4
smart,7000,46780,7000,4
naive,7454,9579700,7454,4
smart,7454,38716,7454,4
naive,7937,11268600,7937,4
smart,7937,45560,7937,4
naive,8451,11888500,8451,4
smart,8451,53225,8451,4
naive,8998,13085100,8998,4
smart,8998,52800,8998,4
naive,9581,14983300,9581,4
smart,9581,68100,9581,4
naive,10202,16639000,10202,4
smart,10202,70166,10202,4
naive,10863,19437800,10863,4
smart,10863,71966,10863,4
naive,11567,21802900,11567,4
smart,11567,64250,11567,4
naive,12316,24708700,12314,4
smart,12316,82933,12314,4
naive,13114,28989500,13113,4
smart,13114,88900,13113,4
naive,13964,30051200,13964,4
smart,13964,92433,13964,4
naive,14868,33520800,14868,4
smart,14868,84666,14868,4
naive,15832,39960300,15831,4
smart,15832,108700,15831,4
naive,16857,48874900,16855,4
smart,16857,113650,16855,4
naive,17950,49491200,17950,4
smart,17950,129600,17950,4
naive,19113,55628300,19111,4
smart,19113,137750,19111,4
naive,20351,66073700,20351,4
smart,20351,135300,20351,4
naive,21669,73619400,21668,4
smart,21669,117450,21668,4
naive,23073,81804300,23071,4
smart,23073,170950,23071,4
naive,24568,88962800,24567,4
smart,24568,159150,24567,4
naive,26160,102389400,26159,4
smart,26160,234600,26159,4
naive,27854,141225000,27854,4
smart,27854,236900,27854,4
naive,29659,132248600,29659,4
smart,29659,241500,29659,4
naive,31581,148890600,31580,4
smart,31581,299200,31580,4
naive,33627,183117100,33626,4
smart,33627,264400,33626,4
naive,35805,204474800,35805,4
smart,35805,243700,35805,4
naive,38125,213584100,38124,4
smart,38125,302900,38124,4
naive,40595,246006500,40595,4
smart,40595,255900,40595,4
naive,43225,280161000,43224,4
smart,43225,361700,43224,4
naive,46025,310717000,46024,4
smart,46025,310100,46024,4
naive,49007,354823100,49006,4
smart,49007,345900,49006,4
naive,52182,395454500,52182,4
smart,52182,329400,52182,4
naive,55563,455298200,55563,4
smart,55563,344800,55563,4
naive,59163,513494100,59162,4
smart,59163,502200,59162,4
naive,62996,580098800,62995,4
smart,62996,448100,62995,4
naive,67077,664760700,67077,4
smart,67077,493200,67077,4
naive,71422,746669100,71421,4
smart,71422,491900,71421,4
naive,76050,857062700,76050,4
smart,76050,545300,76050,4
naive,80977,959928400,80977,4
smart,80977,450300,80977,4
naive,86223,1121234300,86222,4
smart,86223,627600,86222,4
naive,91809,1274663300,91809,4
smart,91809,669300,91809,4
naive,97757,1394799500,97756,4
smart,97757,703600,97756,4
naive,104090,1594059400,104087,4
smart,104090,623900,104087,4
naive,110834,1830364200,110834,4
smart,110834,729100,110834,4
naive,118014,2066946300,118014,4
smart,118014,809500,118014,4
naive,125660,2323521000,125658,4
smart,125660,866600,125658,4
naive,133801,2652482400,133801,4
smart,133801,988400,133801,4
naive,142470,2991499400,142470,4
smart,142470,1022000,142470,4
naive,151700,3376066200,151699,4
smart,151700,988400,151699,4
naive,161528,3840920900,161527,4
smart,161528,1238900,161527,4
naive,171992,4346328900,171991,4
smart,171992,1269600,171991,4
naive,183135,4918141200,183132,4
smart,183135,1119500,183132,4
naive,195000,5566687900,195000,4
smart,195000,1257700,195000,4
naive,207633,6301469600,207633,4
smart,207633,1232900,207633,4
naive,221085,7168238200,221084,4
smart,221085,1440800,221084,4
naive,235408,8118094000,235408,4
smart,235408,1571300,235408,4
naive,250659,9168718200,250658,4
smart,250659,1768500,250658,4
naive,266898,10431784300,266898,4
smart,266898,1544900,266898,4
naive,284190,11979092000,284190,4
smart,284190,2135300,284190,4
naive,302601,13385477600,302601,4
smart,302601,1961200,302601,4
naive,322206,15211136600,322206,4
smart,322206,1785300,322206,4
naive,343080,17200914200,343080,4
smart,343080,2513000,343080,4
naive,365307,19544793800,365307,4
smart,365307,2356500,365307,4
naive,388974,22168811800,388974,4
smart,388974,2773900,388974,4
naive,414174,25148056800,414174,4
smart,414174,2358100,414174,4
naive,441006,28636359400,441004,4
smart,441006,3192400,441004,4
naive,469577,32327871200,469577,4
smart,469577,2937400,469577,4
naive,500000,36775091800,500000,4
smart,500000,3379500,500000,4
naive,1000,164950,999,5
smart,1000,3641,999,5
naive,1064,167400,1064,5
smart,1064,4455,1064,5
naive,1133,188150,1129,5
smart,1133,5007,1129,5
naive,1207,202250,1204,5
smart,1207,3556,1204,5
naive,1285,442300,1284,5
smart,1285,3896,1284,5
naive,1368,252500,1366,5
smart,1368,3931,1366,5
naive,1457,302700,1457,5
smart,1457,4457,1457,5
naive,1551,345200,1550,5
smart,1551,4921,1550,5
naive,1652,407400,1652,5
smart,1652,5215,1652,5
naive,1759,444300,1757,5
smart,1759,6284,1757,5
naive,1873,509500,1872,5
smart,1873,5994,1872,5
naive,1994,773100,1993,5
smart,1994,8148,1993,5
naive,2123,641700,2123,5
smart,2123,5982,2123,5
naive,2261,1017000,2260,5
smart,2261,12737,2260,5
naive,2408,1078200,2408,5
smart,2408,18327,2408,5
naive,2564,1030400,2564,5
smart,2564,8817,2564,5
naive,2730,1062300,2730,5
smart,2730,18854,2730,5
naive,2907,1230000,2907,5
smart,2907,13580,2907,5
naive,3095,1385500,3091,5
smart,3095,26937,3091,5
naive,3295,2472400,3295,5
smart,3295,15523,3295,5
naive,3509,1838000,3509,5
smart,3509,20460,3509,5
naive,3736,2072300,3735,5
smart,3736,19600,3735,5
naive,3978,2400300,3978,5
smart,3978,21170,3978,5
naive,4236,3562800,4236,5
smart,4236,21080,4236,5
naive,4511,3861500,4510,5
smart,4511,25850,4510,5
naive,4803,3982100,4801,5
smart,4803,67600,4801,5
naive,5114,3825600,5114,5
smart,5114,33533,5114,5
naive,5446,6229400,5445,5
smart,5446,37966,5445,5
naive,5798,6098300,5798,5
smart,5798,47520,5798,5
naive,6174,6939100,6174,5
smart,6174,40240,6174,5
naive,6574,7122400,6571,5
smart,6574,50425,6571,5
naive,7000,8527300,6999,5
smart,7000,47200,6999,5
naive,7454,8427300,7452,5
smart,7454,49220,7452,5
naive,7937,10085300,7937,5
smart,7937,49060,7937,5
naive,8451,10696100,8450,5
smart,8451,54975,8450,5
naive,8998,14564500,8998,5
smart,8998,60075,8998,5
naive,9581,15274700,9581,5
smart,9581,52750,9581,5
