Algorithm.Type,String.Length,Duration,Fractional.Period,Run
naive,1000,2688900,998,1
smart,1000,63000,998,1
naive,1064,893600,1063,1
smart,1064,80366,1063,1
naive,1133,818300,1132,1
smart,1133,75400,1132,1
naive,1207,699100,1207,1
smart,1207,77100,1207,1
naive,1285,798000,1285,1
smart,1285,81266,1285,1
naive,1368,875000,1368,1
smart,1368,84333,1368,1
naive,1457,960400,1457,1
smart,1457,93000,1457,1
naive,1551,2961100,1549,1
smart,1551,142450,1549,1
naive,1652,565800,1652,1
smart,1652,101600,1652,1
naive,1759,486800,1759,1
smart,1759,104500,1759,1
naive,1873,531200,1872,1
smart,1873,114950,1872,1
naive,1994,731300,1992,1
smart,1994,126500,1992,1
naive,2123,1954300,2122,1
smart,2123,136100,2122,1
naive,2261,2490700,2261,1
smart,2261,113350,2261,1
naive,2408,872900,2408,1
smart,2408,72300,2408,1
naive,2564,1046300,2563,1
smart,2564,76333,2563,1
naive,2730,1824700,2730,1
smart,2730,84566,2730,1
naive,2907,4701800,2907,1
smart,2907,100300,2907,1
naive,3095,5773400,3093,1
smart,3095,137700,3093,1
naive,3295,6571600,3294,1
smart,3295,148150,3294,1
naive,3509,1864000,3508,1
smart,3509,134500,3508,1
naive,3736,2553500,3735,1
smart,3736,24500,3735,1
naive,3978,2974200,3977,1
smart,3978,22411,3977,1
naive,4236,4076000,4236,1
smart,4236,19472,4236,1
naive,4511,3925000,4511,1
smart,4511,31714,4511,1
naive,4803,7511900,4802,1
smart,4803,37683,4802,1
naive,5114,13066800,5112,1
smart,5114,40660,5112,1
naive,5446,4456900,5445,1
smart,5446,27637,5445,1
naive,5798,7066000,5798,1
smart,5798,36850,5798,1
naive,6174,7103000,6173,1
smart,6174,38683,6173,1
naive,6574,8506400,6574,1
smart,6574,43220,6574,1
naive,7000,7170000,7000,1
smart,7000,38550,7000,1
naive,7454,8706900,7452,1
smart,7454,41280,7452,1
naive,7937,30997700,7935,1
smart,7937,55050,7935,1
naive,8451,12349500,8450,1
smart,8451,149600,8450,1
naive,8998,14189700,8997,1
smart,8998,60525,8997,1
naive,9581,15847400,9580,1
smart,9581,60400,9580,1
naive,10202,18838300,10202,1
smart,10202,66966,10202,1
naive,10863,20303700,10863,1
smart,10863,62625,10863,1
naive,11567,47384300,11567,1
smart,11567,74700,11567,1
naive,12316,24841900,12316,1
smart,12316,77000,12316,1
naive,13114,28136200,13112,1
smart,13114,88300,13112,1
naive,13964,31500800,13963,1
smart,13964,86333,13963,1
naive,14868,35532600,14867,1
smart,14868,96700,14867,1
naive,15832,40594300,15832,1
smart,15832,78733,15832,1
naive,16857,46106700,16856,1
smart,16857,115000,16856,1
naive,17950,56458000,17950,1
smart,17950,115100,17950,1
naive,19113,67346500,19113,1
smart,19113,110800,19113,1
naive,20351,65048300,20347,1
smart,20351,104550,20347,1
naive,21669,71492000,21668,1
smart,21669,152950,21668,1
naive,23073,81464700,23073,1
smart,23073,157400,23073,1
naive,24568,91644500,24566,1
smart,24568,158750,24566,1
naive,26160,134205500,26160,1
smart,26160,175350,26160,1
naive,27854,140796100,27852,1
smart,27854,158100,27852,1
naive,29659,135754200,29659,1
smart,29659,164100,29659,1
naive,31581,149156200,31580,1
smart,31581,211800,31580,1
naive,33627,195341400,33625,1
smart,33627,235800,33625,1
naive,35805,202973700,35803,1
smart,35805,232000,35803,1
naive,38125,223074800,38124,1
smart,38125,280500,38124,1
naive,40595,242658600,40594,1
smart,40595,279600,40594,1
